Year,NOI_NOIP_Common,NOI_NOIP_Tau,NOI_NOIP_P,NOI_IOI_Common,NOI_IOI_Tau,NOI_IOI_P
2009,68,0.28750644627666877,0.0006410711896960305,4,-0.3333333333333334,0.75
2010,157,0.37331517687274757,2.108302916385787e-11,4,0.3333333333333334,0.75
2011,164,0.3737801891521467,2.745939772781226e-12,4,-0.18257418583505539,0.7179816667337766
2012,194,0.39878769110796564,2.821145207772635e-16,4,0.0,1.0
2013,170,0.3359862807539867,1.930695483748752e-10,4,0.5477225575051662,0.2785986718379625
2014,171,0.32935143205531825,4.4373680607489e-10,4,0.6666666666666669,0.3333333333333333
2015,171,0.3604415473436865,5.78290251791811e-12,4,0.6666666666666669,0.3333333333333333
2016,238,0.4142545854272218,3.02252386806168e-21,4,0.3333333333333334,0.75
2017,243,0.3799884891641126,2.920944532379259e-18,4,-0.6666666666666669,0.3333333333333333
2018,271,0.41214309912594976,8.76205301420833e-24,4,0.3333333333333334,0.75
2020,170,0.40018422733288955,1.3272838868444709e-14,4,-0.3333333333333334,0.75
2021,277,0.36766236113201134,1.6876906006751847e-19,4,-0.8944271909999159,0.10247043485974937
2022,176,0.33714572750669136,4.466458282651812e-11,4,0.0,1.0
2023,236,0.5116582029448689,9.805571691563241e-30,3,1.0,0.3333333333333333
